Northing,Easting,Depth,Moment Magnitude
9951,15731,8141,-1.930
9952,15734,8143,-1.950
10545,15254,8412,-2.149
10025,15889,8185,-2.378
9861,14614,8358,-2.282
9366,15343,8089,-1.456
10276,15779,8484,-2.119
9973,14657,8434,-1.904
9379,15260,8080,-1.959
9563,15115,8177,-1.259
9991,14549,8678,-1.618
10392,15395,8427,-2.645
10169,15464,8418,-2.670
11052,15629,8976,-2.259
11074,15626,8987,-2.508
10893,15378,8787,-2.727
9333,15204,8099,-1.617
10200,14845,8389,-2.019
9559,15095,8193,-1.818
9555,15093,8166,-2.043
9534,15097,8208,-2.368
10959,15553,8988,-2.685
10045,15900,8227,-2.608
9861,16006,8281,-2.333
10499,15172,8854,-2.300
9721,14570,8209,-2.559
9969,14624,8497,-2.018
9384,14904,8203,-2.073
9948,15710,8139,-2.092
10382,15308,8382,-2.559
10531,14876,8798,-2.679
9404,14975,8191,-1.188
9823,15256,8342,-2.288
9502,15009,8191,-2.067
10159,15708,8276,-1.861
10902,14950,8898,-2.712
9711,15372,8224,-2.404
9763,14534,8322,-2.237
9548,15109,8201,-2.790
9750,14520,8309,-2.248
10336,15561,8453,-2.162
9797,15517,8157,-1.729
9183,14970,8086,-2.235
9876,15864,8236,-2.005
10079,14713,8417,-0.960
10075,14725,8436,-2.147
10073,14732,8415,-2.133
10074,14715,8415,-2.133
9632,15143,8004,-2.791
9766,15129,7982,-2.506
9606,14880,8121,-2.115
9927,15455,8149,-2.734
9922,15924,8247,-1.879
9690,15931,8224,-2.207
10357,15315,8353,-2.369
10359,15322,8345,-2.496
9528,15097,8203,-2.556
10075,14906,8314,-2.661
10444,15872,8415,-2.641
9817,16030,8435,-1.789
9227,15058,8103,-2.292
9875,16041,8458,-2.047
9615,15208,7840,-1.902
10035,14771,8473,-2.627
9362,15355,8061,-0.946
9377,15305,8076,-1.796
10433,15305,8385,-2.594
10434,15296,8375,-2.204
10920,15276,8812,-2.497
10833,15446,9136,-2.882
10052,14744,8461,-1.221
10613,15406,8608,-2.726
10826,15857,8788,-1.992
9624,14747,8139,-2.440
10049,15338,8262,-2.508
10033,15833,8263,-2.348
10283,15646,8353,-2.489
9628,15223,7840,-2.284
10034,15829,8228,-2.101
10076,15824,8226,-2.040
10042,15952,8359,-2.619
10174,15697,8339,-2.111
10282,15480,8422,-2.008
10823,14876,8921,-2.496
9473,15418,8075,-2.445
9705,15076,7923,-2.433
9689,15301,8196,-2.636
9695,15296,8191,-2.692
9258,15045,8080,-2.080
9975,15813,8274,-2.101
9962,15598,8194,-2.283
9677,14591,8206,-2.543
9916,14504,8520,-1.508
9568,15180,8200,-2.056
10020,15932,8343,-2.023
9982,15923,8313,-2.447
9988,15800,8260,-1.882
10019,15304,8330,-2.511
9682,14822,8158,-2.234
10437,15406,8518,-2.208
9528,14942,8181,-2.790
10524,15493,8593,-2.450
10070,15383,8361,-1.464
9375,15192,8090,-1.376
10913,15173,8833,-1.700
10961,15150,8812,-2.484
9418,14936,8253,-2.125
9828,15936,8115,-2.152
9374,15193,8083,-1.904
9383,15307,8089,-1.723
10059,15796,8277,-2.190
10054,15802,8249,-1.642
10530,15298,8849,-2.135
10063,15493,8287,-2.073
9188,14966,8079,-1.808
9595,15089,7950,-2.623
9990,15919,8280,-1.618
9998,15107,8430,-2.323
9973,16018,8527,-1.843
10053,14431,8541,-2.284
9588,14757,8201,-2.720
9841,15165,8494,-1.658
9622,15231,8182,-2.260
9922,14521,8493,-2.401
10069,15785,8310,-1.045
10050,15789,8324,-1.965
9679,15113,8167,-2.316
10049,15817,8253,-1.478
9361,14873,8195,-1.573
9996,15957,8173,-1.724
10118,14946,8502,-2.490
10193,15902,8432,-1.922
10231,15675,8347,-2.159
9443,14688,8174,-2.668
9205,15092,8023,-2.660
10289,15002,8641,-2.419
9493,14996,8209,-2.126
10361,15326,8348,-2.334
9579,15134,8190,-2.724
10060,15820,8265,-2.436
10999,15272,8953,-2.661
10369,15319,8343,-2.767
10073,15803,8276,-2.332
10055,15801,8264,-2.187
9865,15142,8003,-2.723
10043,15792,8237,-1.668
9478,14982,8188,-2.935
10726,15293,8626,-2.836
9752,15185,8025,-3.167
10024,14912,8219,-2.704
10248,15638,8361,-1.737
9534,15140,8174,-2.888
9929,15077,7991,-2.632
10731,15302,8628,-2.517
10010,15958,8115,-2.055
10002,15954,8160,-2.113
10186,15828,8383,-2.547
9659,15290,8194,-2.607
10129,16010,8371,-2.145
9667,15311,8173,-2.691
9625,15238,8194,-2.748
9340,15208,8080,-0.973
9335,15191,8110,-1.637
9676,14864,8094,-2.624
9666,14820,8158,-2.778
9580,15189,8183,-1.938
10430,15162,8687,-2.536
10032,15832,8256,-1.631
9673,15337,8196,-2.640
9664,15037,8136,-2.024
10186,15684,8346,-2.019
9580,15097,8130,-2.295
9602,15223,7825,-2.706
10025,15837,8270,-2.016
10028,15833,8236,-1.547
9527,14988,8194,-2.451
10091,15579,8272,-2.072
9633,15136,7976,-2.774
9019,15398,8022,-1.709
10016,15313,8316,-2.680
10056,15799,8221,-2.526
9386,14874,8214,-2.554
9954,15598,8208,-0.860
10055,15821,8258,-1.487
10272,15428,8395,-2.445
9789,16031,8147,-2.436
9788,16029,8151,-2.465
9874,15646,8159,-2.077
9883,14537,8500,-0.961
10426,15097,8767,-2.134
9955,15728,8116,-2.275
10086,15577,8265,-0.548
10093,15586,8248,-2.355
10091,15587,8258,-1.815
10091,15584,8254,-2.532
9800,15147,8482,-1.804
10037,15037,8503,-1.589
10126,15523,8265,-1.767
10129,15523,8255,-1.836
10650,15143,8773,-1.767
9858,16023,8493,-2.108
9636,15627,8265,-2.146
10354,15886,8493,-1.894
9863,15225,8476,-2.171
9962,14561,8487,-1.548
9976,14530,8455,-2.666
9397,15444,8060,-2.528
9864,16054,8481,-1.542
10839,15640,9139,-2.254
10866,15636,9133,-2.824
10848,15638,9111,-2.812
10081,15999,8628,-1.589
9880,15299,8410,-2.264
9462,14990,8187,-2.590
9628,15624,8243,-2.837
9632,15134,7982,-2.793
9545,15736,8167,-2.835
9546,15148,8014,-2.868
10070,14637,8677,-1.317
10055,14600,8704,-2.052
9844,15801,8130,-2.591
9499,15421,8092,-2.376
9883,15879,8227,-2.099
10031,14713,8459,-1.173
9351,15314,8091,-1.679
9513,14716,8253,-2.126
9576,15153,8177,-2.570
9582,14863,8139,-2.378
9957,15031,8281,-0.310
10532,15342,8874,-2.136
9354,15222,8105,-1.891
9823,15149,8479,-1.845
10758,15549,9002,-2.413
9737,15060,7906,-2.345
9520,14902,8172,-2.098
10013,15753,8241,-2.004
10266,15638,8358,-2.214
10310,15560,8407,-2.330
9959,15607,8178,-0.716
9943,15606,8179,-0.879
9942,15613,8185,-2.008
9940,15598,8199,-1.888
9948,15601,8150,-0.907
9938,15599,8192,-1.226
9928,15599,8191,-1.239
9988,15612,8175,-2.385
9932,15601,8191,-1.639
